atributo,tipo,ks,psi,wasserstein,wasserstein_por_iqr_d0,js_bits,media_d0,media_d1
rank,numerico,1.1102230246251565e-16,0.0,0.0,0.0,,50.5,50.5
rank_lag1,numerico,0.03698038699486628,0.014387841071212965,1.1299690667368703,0.020925353087719818,,53.07841121495327,54.20838028169014
rank_lag2,numerico,0.05281196524944043,0.020006207166119668,1.9863439515598262,0.033105732525997106,,55.42626168224299,57.41260563380282
variacao_1s,numerico,0.07075918125575886,0.07515144155448955,4.349277346320918,0.4832530384801019,,2.578411214953271,3.708380281690141
peak_pos,numerico,0.10288469132552325,0.04580345461060845,5.529120705541661,0.10841413148120904,,38.382289719626165,32.85316901408451
distancia_pico,numerico,0.11992365407397654,0.07658633768408213,5.5292141634855865,0.29101127176239927,,12.117710280373831,17.646830985915493
semanas_na_parada,numerico,0.06587567460839805,0.02507077589024055,1.1175457417401609,0.08596505705693545,,11.950046728971962,11.498098591549295
hiato_semanas,numerico,0.002979136501250368,2.595649396117909e-05,0.00487396340660784,,,0.023154205607476636,0.028028169014084506
radio_rank,numerico,0.03552882716861916,0.007472490947653311,0.5578521126760562,0.022314084507042246,,38.3975,38.95535211267605
streaming_rank,numerico,0.019635711465052053,0.0019200579690185448,0.4180242200868767,0.017417675836953195,,39.205841121495325,38.78781690140845
digital_rank,numerico,0.1418448071607213,0.09372326978526208,3.304196722390417,0.1436607270604529,,39.54390186915888,42.848098591549295
album_rank,numerico,0.08528892984072663,0.08330494120343383,4.377377912333816,0.02669132873374278,,131.56691588785046,127.19098591549296
estreia,categorico,,,,,0.002338338534700005,0.10182242990654206,0.13880281690140844
reentrada,categorico,,,,,0.0004533422715724331,0.010981308411214953,0.01683098591549296
radio_presente,categorico,,,,,0.0009141306825045396,0.48735981308411214,0.451830985915493
streaming_presente,categorico,,,,,0.0002614620822162934,0.4346728971962617,0.45359154929577467
digital_presente,categorico,,,,,0.015903390022898513,0.42705607476635515,0.2852112676056338
album_presente,categorico,,,,,4.161162015580531e-11,0.4583878504672897,0.45838028169014083
mes,categorico,,,,,0.008742338381529859,6.397196261682243,6.788732394366197
semana_ano,categorico,,,,,0.010301394283002216,26.13317757009346,27.570422535211268
alvo,alvo,,,,,0.0019054900941346295,0.36161214953271026,0.31302816901408453
